30015494	2714163118	Tacoma, WA	
59578746	2842711262	Seattle, WA	
20782489	3394555144	Spokane, WA	
51196566	3950162236	Renton, WA	
18693035	4321112500	Seattle, WA	
75316715	4083023165	Seattle, WA	
18694469	3914879477	Port Townsend, WA	
14501193	4039479564	Seattle, WA	
20793194	3871256453	Seattle, WA	
21640866	4059198163	Seattle, WA	
21842077	4049551820	Seattle, WA	
18696924	3399091559	Arlington, WA	
63785801	3181977303	Bremerton, WA	
39668627	4108736444	Renton, WA	
14502965	4321163158	Seattle, WA	
32329442	2083168556	Kirkland, WA	
60641365	3974441547	Olympia, WA	
76370271	4328484841	Seattle, WA	
28138026	3896004838	Seattle, WA	
20798363	3982978870	Spokane, WA	
14507749	3233783154	Seattle, WA	
54354319	3639913696	Seattle, WA	
13856062	3737308106	Seattle, WA	
34433314	4316587090	Spanaway, WA	
54358859	3980436563	Seattle, WA	
14515587	3764027712	Seattle, WA	
59605015	3928428734	Seattle, WA	
14517004	4092719800	Marysville, WA	
31294847	4120561465	Seattle, WA	
14518961	3635144557	Bellevue, WA	
7180502	3597097671	Seattle, WA	
14523151	4068691377	Kent, WA	
29203792	3981376001	Seattle, WA	
54740165	4387262082	Seattle, WA	
16622121	4121962845	Seattle, WA	
14528019	4017115012	Seattle, WA	
13481532	4325053326	Seattle, WA	
19198916	4329475210	Auburn, WA	
58572970	4071562386	Seattle, WA	
18151161	4046045513	Seattle, WA	
20828852	4048017932	Seattle, WA	
23975266	4066664171	Seattle, WA	
63532091	4100681621	Seattle, WA	
50133301	2302092760	Seattle, WA	
18733421	4296078768	Seattle, WA	
1957211	4028097856	Bellingham, WA	
30268897	4374595953	Pasco, WA	
26566549	3892905699	Kennewick, WA	
59047076	4048668395	Seattle, WA	
19787333	4043184386	Tacoma, WA	
10351332	4059451964	Vancouver, WA	
6618742	3773245286	Seattle, WA	
36568060	4007823573	Bainbridge Island, WA	
15596716	1064697871	Tacoma, WA	
57542009	3905383801	Spokane, WA	
14560326	4091710028	Seattle, WA	
48115426	4090396736	Bellevue, WA	
14485560	4010041089	Seattle, WA	
63846484	4029137154	Seattle, WA	
22952069	3943280045	Seattle, WA	
40778760	4098974325	Seattle, WA	
19165138	4097827941	Kennewick, WA	
74340599	4114177994	Port Orchard, WA	
14572189	3805709608	Seattle, WA	
17718350	4047060143	Seattle, WA	
17721579	4167431003	Seattle, WA	
71199458	4062847283	Redmond, WA	
48132111	3980994112	Pullman, WA	
32406052	3573000225	Kent, WA	
16679570	3945109070	Poulsbo, WA	
21923395	4174369353	Seattle, WA	
69111339	3565904683	Redmond, WA	
22878150	4357480148	Seattle, WA	
37322352	3770711170	Seattle, WA	
29270198	4013066340	Seattle, WA	
20883531	3211509769	Vancouver, WA	
15015162	4020421899	Kirkland, WA	
17741065	3855543925	Renton, WA	
14596664	4030506646	Bellevue, WA	
76465392	4318081830	Kent, WA	
18794894	4111259600	Spokane, WA	
54448838	3377915551	Seattle, WA	
40817718	4155445974	Seattle, WA	
70179270	4091284290	Seattle, WA	
36589630	4072298649	Seattle, WA	
25092287	3987010030	Seattle, WA	
22998087	4151295480	Bremerton, WA	
51311262	4085248723	Bellevue, WA	
15662779	4083545876	Seattle, WA	
40828927	4068618756	Federal Way, WA	
63898365	3842691003	Seattle, WA	
26150768	2192362385	Seattle, WA	
61803654	3920654153	Spokane, WA		
67057937	4012613720	Seattle, WA	
18823689	4163056980	Kirkland, WA	
12924072	3890711579	Bellevue, WA	
31073714	4075389829	Seattle, WA	
41236010	1853031755	Kent, WA	
51333176	4104163986	Everett, WA	
26169763	1380516632	Puyallup, WA	
27218812	4020599488	Seattle, WA	
14636086	4017809909	Redmond, WA	
21314157	3857175207	Spokane, WA	
14638875	4008017096	Issaquah, WA	
37707705	3904646881	Seattle, WA	
28271579	3951519071	Marysville, WA	
19481961	4356063597	Vancouver, WA	
19885492	4309027924	Seattle, WA	
18847373	4042817401	Gig Harbor, WA	
35368831	3907132304	Seattle, WA	
76509167	4305300801	Seattle, WA	
21983642	4075676336	Tacoma, WA	
54489877	3997929131	Seattle, WA	
26033920	3888449424	Seattle, WA	
16479382	4095591592	Seattle, WA	
26183925	3991940499	Seattle, WA	
17795946	4426997978	Seattle, WA	
17802129	4087793945	Seattle, WA	
39825129	3847981766	Mount Vernon, WA	
26385730	1792237047	Seattle, WA	
25146326	4022303823	Renton, WA	
14661283	4082229749	Oak Harbor, WA	
37732151	3872192018	Seattle, WA	
51365243	4309980606	Seattle, WA	
28298689	4140825378	Seattle, WA	
